from,number_of_transactions,standard_deviation,period,number_of_blocks,value
0x0011839e5Dcd8De00b8e52046E0D6089fA603448,168,1.532155344604456,2.05,20,1.01e+20
0x0054eFF44e2CA97ccD80c01aC1B0Fe1a954cCc20,32,0.7315376902732007,1.5238095238095237,21,4.35967296e+18
0x0095797887c863F6106dce9A108d110d97a22191,190,1.179229289600425,1.631578947368421,19,2.001e+21
0x00E50aCC84DE2D152152f45B6FA5fd191F89B5f0,877,1.6628054446447211,1.8484848484848484,66,5.1e+19
0x00Ec9f2ee48fD10b6ab6B5147F9eb67172a2C2e1,320,1.0347497623614468,1.6666666666666667,33,1.01e+20
0x010e0E42193bC8857f3fA292CCb4143317F19347,76,1.232103288039073,1.9318181818181819,44,1.01e+20
0x01903BE8E09A54C59d6D8238433a5234Fdb724Ee,33,2.798499101701164,3.7916666666666665,24,7.966021606749e+16
0x01f29ce7E7CcC423076F736eb8b42802d8626785,161,2.4686398735912785,1.894736842105263,19,1.51e+20
0x0273a1f2fBDB215CBa4db8a2F05B3e059A9125C8,102,1.7452357293113878,1.7941176470588236,34,1.01e+20
0x02C7b475dCc6F577D5Fe2DF52dE0eb1dc7A676a9,145,0.9206699387373711,1.8076923076923077,26,1.01e+20
0x02F615356379D5e8d3bE9B99A68B77A9c7B58f5e,37,2.3353975320388303,3.2142857142857144,28,1.01e+20
0x032c91aF4D6FCa98f916a9E0D331Fdec9d26aFF0,113,2.925747767665559,2.6,25,1.01e+20
0x03f996e64C6FE6Dc5e38E0BFF3Ba6Ab4aE97d9F7,434,1.061993659696676,1.2972972972972974,37,0
0x048b8ff3CFbd318e63d22d5E4E79F2b971087d1f,268,2.4588351363805483,2.0481927710843375,83,1.01e+20
0x04900684F83D80384613c73401ce1688B21F9e65,69,1.358304291462027,1.7391304347826086,23,1.01e+20
0x04B71bBda1bb74eB90c8f007427c10dc3405A650,128,2.160246899469287,2,21,1.01e+20
0x04D986a7dA15CdcBf81dbC41C78586317FA68baB,143,2.313447820100235,1.9285714285714286,28,1.01e+20
0x05748Bc04d343d587592EC9874e92acf7366f3Ea,441,0.318157963590287,1.1142857142857143,35,1.51e+20
0x05CC3241E654EB26F183f7fc7345efc11cDe4bC9,112,1.659166799065176,1.7619047619047619,21,1.01e+20
0x05ac8c22708C51af71C4b1f6fa5857fA335B3A00,61,2.80110924367507,3.2745098039215685,51,3.3282421367555555e+19
0x05e345d089C599a6e54F652743C94181eF3cDd36,287,0.770436745507363,1.434782608695652,23,1.01e+20
0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,2.163947e+06,2.9488661917220846,2.3364639786624295,493402,1.0957630198029543e+22
0x06146baD1EF30eAF9c0663C7dFf66C91CC08f30A,65,0.45175395145262565,1.2857142857142858,21,1.06e+21
0x068D3Fa31De40E86f99520183f12053C446a3dcc,167,1.35001634716726,1.9148936170212767,47,1.01e+20
0x07A529107B45000604Eb27E7cee72120380BA0D6,127,1.562049935181331,1.6,20,1.01e+20
